#
#    File: Shock
#    Info: Gore, and Gross Sites
# Domains: 98
# Updated: 7/25/2023  12:59 (12:59 PM CST)
# Creator: ShadowWhisperer (Sean H.)
#
#    Curl: curl -s https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/master/Lists/Shock
#     Git: git clone https://github.com/ShadowWhisperer/BlockLists.git
#    Wget: wget https://codeload.github.com/ShadowWhisperer/BlockLists/zip/master
#

columbinegame.com           #Game about Columbine Shooting

beheadedart.com             #Gore
bestgore.com                #Gore
charonboat.com              #Gore
deadhouse.ru                #Gore
deathtube.net               #Gore
documentingreality.com      #Gore
goreforum.com               #Gore
goregrish.com               #Gore
grotty-monday.com           #Gore
hoodsite.cc                 #Gore
horriblevideos.com          #Gore
kaotic.com                  #Gore
kekma.net                   #Gore (Forces Full Screen / Doesn't want you to leave)
leakreality.com             #Gore
livegore.com                #Gore
miscopy.com                 #Gore
porjati.net                 #Gore
psychoduck2.net             #Gore
psychoduck.net              #Gore
runthegauntlet.org          #Gore
shockgore.com               #Gore
theync.com                  #Gore
thisisgore.com              #Gore
w2world.net                 #Gore
xgore.net                   #Gore

bdsmpain.info               #Torture (Porn)
sadogate.com                #Torture (Porn)

armyofgod.com               #Dead Babies (Anti-Abortion)
numbertwoguide.com          #Poop Pictures

churchofsatan.org           #Satanism

1girl1bowl.com              #Shock - Porn
1girl1pitcher.com           #Shock - Porn
1girl1pitcher.org           #Shock - Porn
1guy1cock.com               #Shock - Porn
1man1jar.org                #Shock - Porn
1man2needles.com            #Shock - Porn
1priest1nun.com             #Shock - Porn
1priest1nun.net             #Shock - Porn
2girls1cup.cc               #Shock - Porn
2girls1cup.com              #Shock - Porn
2girls1cup.ws               #Shock - Porn
2girls1finger.org           #Shock - Porn
2guys1horse.org             #Shock - Porn
2guys1stump.org             #Shock - Porn
3guys1hammer.ws             #Shock - Porn
4girlsfingerpaint.com       #Shock - Porn
4girlsfingerpaint.org       #Shock - Porn
bluewaffle.biz              #Shock - Porn
bottleguy.com               #Shock - Porn
bowlgirl.com                #Shock - Porn
clownsong.com               #Shock - Porn
cupvid.com                  #Shock - Porn
dadparty.com                #Shock - Porn
detroithardcore.com         #Shock - Porn
donotwatch.org              #Shock - Porn
eelsoup.net                 #Shock - Porn
fruitlauncher.com           #Shock - Porn
funnelchair.com             #Shock - Porn
giantcheesetaco.com         #Shock - Porn
goatse.bz                   #Shock - Porn
goatsegirl.org              #Shock - Porn
goatse.ru                   #Shock - Porn
hai2u.com                   #Shock - Porn
homewares.org               #Shock - Porn
japscat.org                 #Shock - Porn
kidsinsandbox.info          #Shock - Porn
lemonparty.biz              #Shock - Porn
lemonparty.org              #Shock - Porn
lemonparty.tv               #Shock - Porn
lolhello.com                #Shock - Porn
lolshock.com                #Shock - Porn
loltrain.com                #Shock - Porn
loltrain.net                #Shock - Porn
meatspin.biz                #Shock - Porn
meatspin.cc                 #Shock - Porn
meatspin.com                #Shock - Porn
merryholidays.org           #Shock - Porn
milkfountain.com            #Shock - Porn
mudmonster.org              #Shock - Porn
nutabuse.com                #Shock - Porn
octopusgirl.com             #Shock - Porn
painolympics.info           #Shock - Porn
painolympics.org            #Shock - Porn
phonejapan.com              #Shock - Porn
prolapseman.com             #Shock - Porn
scrollbelow.com             #Shock - Porn
selfpwn.org                 #Shock - Porn
shockchan.com               #Shock - Porn
sourmath.com                #Shock - Porn
suckdude.com                #Shock - Porn
thehomo.org                 #Shock - Porn
themacuser.org              #Shock - Porn
turdgasm.com                #Shock - Porn
vomitgirl.org               #Shock - Porn
walkthedinosaur.com         #Shock - Porn
whipcrack.org               #Shock - Porn
wormgush.com                #Shock - Porn
